생산일자,설비명,MES_NO,생산모델,두께_좌,두께_중,두께_우,무게,통기도,인장강도,생산시간_분,로스시간_분,판정
2026-05-11,C21,3401,P41 (A07KD1-620),18.0,18.0,18.0,15.3,847,81,14,0,OK
2026-05-11,C21,3402,P41 (A07KD1-620),17.8,17.7,17.8,15.4,712,80,14,0,OK
2026-05-11,C21,3403,P41 (A07KD1-620),17.7,18.0,17.9,14.2,715,88,14,0,OK
2026-05-11,C21,3404,P41 (A07KD1-620),18.4,18.5,18.1,15.6,744,85,12,5,OK
2026-05-11,C21,3405,P41 (A07KD1-620),17.5,17.9,17.5,15.6,675,73,12,0,OK
2026-05-11,C22,3406,P43 (B03LM1-580),17.7,17.4,17.7,14.3,731,102,13,5,OK
2026-05-11,C22,3407,P43 (B03LM1-580),17.7,17.5,21.0,14.2,678,101,14,8,NG
2026-05-11,C22,3408,P43 (B03LM1-580),17.4,17.6,17.3,15.8,810,91,13,8,OK
2026-05-11,C22,3409,P43 (B03LM1-580),17.7,17.4,17.4,15.6,840,114,14,0,OK
2026-05-11,C22,3410,P43 (B03LM1-580),17.2,17.1,17.4,14.3,635,91,14,0,OK
2026-05-12,C21,3411,P43 (B03LM1-580),17.3,17.0,17.3,12.4,673,77,9,0,NG
2026-05-12,C21,3412,P43 (B03LM1-580),17.6,17.2,17.2,13.9,622,118,11,0,OK
2026-05-12,C21,3413,P43 (B03LM1-580),17.0,17.4,17.4,15.5,828,94,12,3,OK
2026-05-12,C21,3414,P43 (B03LM1-580),17.2,17.2,17.3,15.4,751,78,12,8,OK
2026-05-12,C21,3415,P43 (B03LM1-580),17.2,17.6,17.4,15.5,775,84,12,0,OK
2026-05-12,C21,3416,P43 (B03LM1-580),17.9,18.1,18.2,15.4,746,79,12,0,OK
2026-05-12,C21,3417,P43 (B03LM1-580),17.6,17.4,17.5,15.9,878,84,10,0,OK
2026-05-12,C21,3418,P43 (B03LM1-580),18.2,18.1,18.1,13.7,702,107,12,0,OK
2026-05-12,C22,3419,P41 (A07KD1-620),18.3,18.2,18.0,14.9,669,95,12,0,OK
2026-05-12,C22,3420,P41 (A07KD1-620),18.1,18.6,18.1,15.3,709,90,12,0,OK
2026-05-12,C22,3421,P41 (A07KD1-620),17.8,17.7,18.1,14.3,849,107,14,3,OK
2026-05-12,C22,3422,P41 (A07KD1-620),18.6,18.5,18.2,13.9,688,83,9,3,OK
2026-05-12,C22,3423,P41 (A07KD1-620),17.9,17.7,17.5,14.5,721,91,10,0,OK
2026-05-13,C21,3424,P41 (A07KD1-620),18.2,18.1,18.4,14.6,717,111,11,8,OK
2026-05-13,C21,3425,P41 (A07KD1-620),17.9,18.0,18.2,14.7,846,88,11,12,OK
2026-05-13,C21,3426,P41 (A07KD1-620),18.0,18.2,17.8,13.8,817,97,10,3,OK
2026-05-13,C21,3427,P41 (A07KD1-620),18.3,18.3,18.0,14.8,726,108,11,3,OK
2026-05-13,C21,3428,P41 (A07KD1-620),18.0,18.0,17.5,15.6,707,97,12,8,OK
2026-05-13,C22,3429,P43 (B03LM1-580),17.3,17.3,17.2,14.1,715,82,9,0,OK
2026-05-13,C22,3430,P43 (B03LM1-580),17.2,17.1,17.6,14.0,741,119,12,0,OK
2026-05-13,C22,3431,P43 (B03LM1-580),17.6,17.8,17.7,15.8,777,99,10,0,OK
2026-05-13,C22,3432,P43 (B03LM1-580),17.9,17.7,18.1,13.9,640,97,13,0,OK
2026-05-13,C22,3433,P43 (B03LM1-580),18.2,17.8,18.1,15.4,833,88,13,12,OK
2026-05-13,C22,3434,P43 (B03LM1-580),17.4,17.1,17.2,12.5,874,94,10,12,NG
2026-05-13,C22,3435,P43 (B03LM1-580),18.1,17.7,17.8,15.2,662,114,9,0,OK
2026-05-13,C22,3436,P43 (B03LM1-580),17.0,17.4,17.2,15.9,680,115,13,0,OK
2026-05-14,C21,3437,P43 (B03LM1-580),18.2,17.7,17.7,15.0,631,97,14,0,OK
2026-05-14,C21,3438,P43 (B03LM1-580),17.6,17.7,17.5,15.5,712,98,10,0,OK
2026-05-14,C21,3439,P43 (B03LM1-580),17.3,17.2,17.5,14.5,625,116,11,0,OK
2026-05-14,C21,3440,P43 (B03LM1-580),17.8,17.6,18.1,14.3,873,86,14,5,OK
2026-05-14,C21,3441,P43 (B03LM1-580),17.7,17.9,17.8,14.8,606,95,9,0,OK
2026-05-14,C21,3442,P43 (B03LM1-580),17.7,17.6,17.8,14.2,604,80,13,0,OK
2026-05-14,C21,3443,P43 (B03LM1-580),17.5,17.2,17.4,14.8,919,109,10,5,OK
