생산일자,설비명,MES_NO,생산모델,두께_좌,두께_중,두께_우,무게,통기도,인장강도,생산시간_분,로스시간_분,판정
2026-04-23,C21,3141,P41 (A07KD1-620),18.0,18.0,17.7,15.3,880,114,12,0,OK
2026-04-23,C21,3142,P41 (A07KD1-620),18.5,18.6,18.3,14.2,801,104,11,5,OK
2026-04-23,C21,3143,P41 (A07KD1-620),17.9,18.0,17.7,15.0,642,79,13,5,OK
2026-04-23,C21,3144,P41 (A07KD1-620),17.9,18.2,18.1,12.5,598,113,14,0,NG
2026-04-23,C21,3145,P41 (A07KD1-620),17.4,17.8,17.6,15.4,825,65,10,0,NG
2026-04-23,C21,3146,P41 (A07KD1-620),17.9,18.2,18.3,15.1,847,81,11,0,OK
2026-04-23,C21,3147,P41 (A07KD1-620),17.6,17.7,17.3,14.2,889,94,13,0,OK
2026-04-23,C21,3148,P41 (A07KD1-620),17.6,17.9,18.1,13.8,718,103,13,0,OK
2026-04-23,C22,3149,P43 (B03LM1-580),17.5,17.9,17.6,13.8,726,79,14,0,OK
2026-04-23,C22,3150,P43 (B03LM1-580),17.7,17.6,18.0,15.2,609,102,14,0,OK
2026-04-23,C22,3151,P43 (B03LM1-580),18.4,18.6,18.3,14.1,565,83,13,12,OK
2026-04-23,C22,3152,P43 (B03LM1-580),17.6,17.8,17.8,14.6,781,89,10,0,OK
2026-04-23,C22,3153,P43 (B03LM1-580),18.0,18.5,18.1,12.5,566,73,13,0,NG
2026-04-23,C22,3154,P43 (B03LM1-580),18.5,18.1,17.9,15.6,751,86,13,0,OK
2026-04-23,C22,3155,P43 (B03LM1-580),18.3,17.7,18.1,13.6,849,115,9,0,OK
2026-04-23,C22,3156,P43 (B03LM1-580),17.6,17.7,17.5,14.2,548,95,11,0,OK
2026-04-23,C22,3157,P43 (B03LM1-580),18.4,18.9,18.6,15.3,774,104,13,0,OK
2026-04-24,C21,3158,P41 (A07KD1-620),17.2,17.1,17.6,15.4,606,108,10,0,OK
2026-04-24,C21,3159,P41 (A07KD1-620),18.0,18.0,21.5,13.8,513,83,9,5,NG
2026-04-24,C21,3160,P41 (A07KD1-620),17.5,17.4,17.6,13.5,522,111,13,0,OK
2026-04-24,C21,3161,P41 (A07KD1-620),18.1,18.2,17.8,15.5,830,81,11,0,OK
2026-04-24,C21,3162,P41 (A07KD1-620),18.1,18.6,18.4,14.8,742,104,13,0,OK
2026-04-24,C21,3163,P41 (A07KD1-620),18.3,18.3,18.7,13.9,862,85,14,3,OK
2026-04-24,C21,3164,P41 (A07KD1-620),17.5,17.5,17.7,14.0,758,107,10,0,OK
2026-04-24,C22,3165,P41 (A07KD1-620),17.7,17.1,17.7,14.9,824,81,11,0,OK
2026-04-24,C22,3166,P41 (A07KD1-620),18.3,17.8,18.2,15.3,846,99,12,0,OK
2026-04-24,C22,3167,P41 (A07KD1-620),18.4,18.4,18.6,14.3,811,112,9,0,OK
2026-04-24,C22,3168,P41 (A07KD1-620),18.6,18.4,18.6,14.9,774,92,11,0,OK
2026-04-24,C22,3169,P41 (A07KD1-620),18.5,18.8,18.5,14.7,686,106,12,0,OK
2026-04-24,C22,3170,P41 (A07KD1-620),18.1,18.5,18.1,14.0,849,85,11,0,OK
2026-04-24,C22,3171,P41 (A07KD1-620),17.2,17.7,17.2,14.9,535,78,10,0,OK
2026-04-25,C21,3172,P41 (A07KD1-620),18.1,18.1,17.9,15.5,678,114,14,0,OK
2026-04-25,C21,3173,P41 (A07KD1-620),18.6,18.6,18.7,13.6,640,100,10,0,OK
2026-04-25,C21,3174,P41 (A07KD1-620),18.6,18.5,18.5,12.5,651,90,14,0,NG
2026-04-25,C21,3175,P41 (A07KD1-620),17.6,17.8,17.8,14.5,713,84,14,0,OK
2026-04-25,C21,3176,P41 (A07KD1-620),17.2,17.1,17.6,13.8,758,87,12,0,OK
2026-04-25,C21,3177,P41 (A07KD1-620),18.5,18.6,18.3,14.1,698,106,14,0,OK
2026-04-25,C21,3178,P41 (A07KD1-620),18.1,18.2,17.8,13.9,519,95,9,0,OK
2026-04-25,C22,3179,P42 (A07KD2-640),17.7,17.6,17.6,12.5,517,80,13,8,NG
2026-04-25,C22,3180,P42 (A07KD2-640),18.2,18.6,18.6,13.8,768,108,14,12,OK
2026-04-25,C22,3181,P42 (A07KD2-640),18.0,17.8,18.0,14.9,817,105,14,0,OK
2026-04-25,C22,3182,P42 (A07KD2-640),17.9,17.6,17.7,14.6,880,88,10,0,OK
2026-04-25,C22,3183,P42 (A07KD2-640),18.4,18.4,18.1,15.0,812,116,11,0,OK
2026-04-25,C22,3184,P42 (A07KD2-640),18.0,18.4,17.9,13.9,624,92,13,0,OK
2026-04-25,C22,3185,P42 (A07KD2-640),18.5,18.6,18.6,15.7,865,79,11,3,OK
2026-04-25,C22,3186,P42 (A07KD2-640),17.5,17.2,17.7,15.6,872,112,9,0,OK
